Bootstraps,Score,Score_Choose_N,EvaluationMetric,EvaluationMetric_Cutoff,PoseSelection,PoseSelection_Choose_N,Reference_Split,N_Reference_Structures,Reference_Structure_Column,Min,Max,CI_Upper,CI_Lower,Total,Fraction,Evaluator_Model,Randomize_by_N_Days,Date_Column
1000,RMSD,1,PoseData_RMSD,2.0,Default,1,DateSplit,1,Reference_Structure,0.013761467889908258,0.44495412844036697,0.44495412844036697,0.013761467889908258,218,0.13841743119266056,"{""type_"":""Evaluator"",""name"":""Evaluator"",""pose_selector"":{""type_"":""PoseSelector"",""name"":""Default"",""category"":""PoseSelection"",""variable"":""Pose_ID"",""ascending"":true,""number_to_return"":1},""dataset_split"":{""type_"":""DateSplit"",""name"":""DateSplit"",""deterministic"":false,""split_level"":0,""reference_structure_column"":""Reference_Structure"",""n_reference_structures"":1,""date_column"":""RefData_Date"",""randomize_by_n_days"":1},""similarity_split"":null,""scorer"":{""type_"":""RMSDScorer"",""name"":""RMSD"",""category"":""Score"",""variable"":""PoseData_RMSD"",""ascending"":true,""number_to_return"":1},""evaluator"":{""type_"":""BinaryEvaluation"",""name"":""BinaryEvaluation"",""variable"":""PoseData_RMSD"",""cutoff"":2.0,""below_cutoff_is_good"":true},""n_bootstraps"":1000,""dataset_before_similarity"":true}",1.0,RefData_Date
1000,RMSD,1,PoseData_RMSD,2.0,Default,1,DateSplit,2,Reference_Structure,0.027522935779816515,0.5275229357798165,0.5275229357798165,0.027522935779816515,218,0.2465275229357798,"{""type_"":""Evaluator"",""name"":""Evaluator"",""pose_selector"":{""type_"":""PoseSelector"",""name"":""Default"",""category"":""PoseSelection"",""variable"":""Pose_ID"",""ascending"":true,""number_to_return"":1},""dataset_split"":{""type_"":""DateSplit"",""name"":""DateSplit"",""deterministic"":false,""split_level"":0,""reference_structure_column"":""Reference_Structure"",""n_reference_structures"":2,""date_column"":""RefData_Date"",""randomize_by_n_days"":1},""similarity_split"":null,""scorer"":{""type_"":""RMSDScorer"",""name"":""RMSD"",""category"":""Score"",""variable"":""PoseData_RMSD"",""ascending"":true,""number_to_return"":1},""evaluator"":{""type_"":""BinaryEvaluation"",""name"":""BinaryEvaluation"",""variable"":""PoseData_RMSD"",""cutoff"":2.0,""below_cutoff_is_good"":true},""n_bootstraps"":1000,""dataset_before_similarity"":true}",1.0,RefData_Date
1000,RMSD,1,PoseData_RMSD,2.0,Default,1,DateSplit,5,Reference_Structure,0.30275229357798167,0.5596330275229358,0.5596330275229358,0.30275229357798167,218,0.49727981651376146,"{""type_"":""Evaluator"",""name"":""Evaluator"",""pose_selector"":{""type_"":""PoseSelector"",""name"":""Default"",""category"":""PoseSelection"",""variable"":""Pose_ID"",""ascending"":true,""number_to_return"":1},""dataset_split"":{""type_"":""DateSplit"",""name"":""DateSplit"",""deterministic"":false,""split_level"":0,""reference_structure_column"":""Reference_Structure"",""n_reference_structures"":5,""date_column"":""RefData_Date"",""randomize_by_n_days"":1},""similarity_split"":null,""scorer"":{""type_"":""RMSDScorer"",""name"":""RMSD"",""category"":""Score"",""variable"":""PoseData_RMSD"",""ascending"":true,""number_to_return"":1},""evaluator"":{""type_"":""BinaryEvaluation"",""name"":""BinaryEvaluation"",""variable"":""PoseData_RMSD"",""cutoff"":2.0,""below_cutoff_is_good"":true},""n_bootstraps"":1000,""dataset_before_similarity"":true}",1.0,RefData_Date
1000,RMSD,1,PoseData_RMSD,2.0,Default,1,DateSplit,10,Reference_Structure,0.6651376146788991,0.8073394495412844,0.8027522935779816,0.7339449541284404,218,0.7751605504587156,"{""type_"":""Evaluator"",""name"":""Evaluator"",""pose_selector"":{""type_"":""PoseSelector"",""name"":""Default"",""category"":""PoseSelection"",""variable"":""Pose_ID"",""ascending"":true,""number_to_return"":1},""dataset_split"":{""type_"":""DateSplit"",""name"":""DateSplit"",""deterministic"":false,""split_level"":0,""reference_structure_column"":""Reference_Structure"",""n_reference_structures"":10,""date_column"":""RefData_Date"",""randomize_by_n_days"":1},""similarity_split"":null,""scorer"":{""type_"":""RMSDScorer"",""name"":""RMSD"",""category"":""Score"",""variable"":""PoseData_RMSD"",""ascending"":true,""number_to_return"":1},""evaluator"":{""type_"":""BinaryEvaluation"",""name"":""BinaryEvaluation"",""variable"":""PoseData_RMSD"",""cutoff"":2.0,""below_cutoff_is_good"":true},""n_bootstraps"":1000,""dataset_before_similarity"":true}",1.0,RefData_Date
1000,RMSD,1,PoseData_RMSD,2.0,Default,1,DateSplit,20,Reference_Structure,0.8073394495412844,0.8715596330275229,0.8623853211009175,0.8211009174311926,218,0.8429449541284403,"{""type_"":""Evaluator"",""name"":""Evaluator"",""pose_selector"":{""type_"":""PoseSelector"",""name"":""Default"",""category"":""PoseSelection"",""variable"":""Pose_ID"",""ascending"":true,""number_to_return"":1},""dataset_split"":{""type_"":""DateSplit"",""name"":""DateSplit"",""deterministic"":false,""split_level"":0,""reference_structure_column"":""Reference_Structure"",""n_reference_structures"":20,""date_column"":""RefData_Date"",""randomize_by_n_days"":1},""similarity_split"":null,""scorer"":{""type_"":""RMSDScorer"",""name"":""RMSD"",""category"":""Score"",""variable"":""PoseData_RMSD"",""ascending"":true,""number_to_return"":1},""evaluator"":{""type_"":""BinaryEvaluation"",""name"":""BinaryEvaluation"",""variable"":""PoseData_RMSD"",""cutoff"":2.0,""below_cutoff_is_good"":true},""n_bootstraps"":1000,""dataset_before_similarity"":true}",1.0,RefData_Date
1000,RMSD,1,PoseData_RMSD,2.0,Default,1,DateSplit,50,Reference_Structure,0.8715596330275229,0.8807339449541285,0.8807339449541285,0.8761467889908257,218,0.8799082568807339,"{""type_"":""Evaluator"",""name"":""Evaluator"",""pose_selector"":{""type_"":""PoseSelector"",""name"":""Default"",""category"":""PoseSelection"",""variable"":""Pose_ID"",""ascending"":true,""number_to_return"":1},""dataset_split"":{""type_"":""DateSplit"",""name"":""DateSplit"",""deterministic"":false,""split_level"":0,""reference_structure_column"":""Reference_Structure"",""n_reference_structures"":50,""date_column"":""RefData_Date"",""randomize_by_n_days"":1},""similarity_split"":null,""scorer"":{""type_"":""RMSDScorer"",""name"":""RMSD"",""category"":""Score"",""variable"":""PoseData_RMSD"",""ascending"":true,""number_to_return"":1},""evaluator"":{""type_"":""BinaryEvaluation"",""name"":""BinaryEvaluation"",""variable"":""PoseData_RMSD"",""cutoff"":2.0,""below_cutoff_is_good"":true},""n_bootstraps"":1000,""dataset_before_similarity"":true}",1.0,RefData_Date
1000,RMSD,1,PoseData_RMSD,2.0,Default,1,DateSplit,100,Reference_Structure,0.9036697247706422,0.926605504587156,0.926605504587156,0.9128440366972477,218,0.9215321100917432,"{""type_"":""Evaluator"",""name"":""Evaluator"",""pose_selector"":{""type_"":""PoseSelector"",""name"":""Default"",""category"":""PoseSelection"",""variable"":""Pose_ID"",""ascending"":true,""number_to_return"":1},""dataset_split"":{""type_"":""DateSplit"",""name"":""DateSplit"",""deterministic"":false,""split_level"":0,""reference_structure_column"":""Reference_Structure"",""n_reference_structures"":100,""date_column"":""RefData_Date"",""randomize_by_n_days"":1},""similarity_split"":null,""scorer"":{""type_"":""RMSDScorer"",""name"":""RMSD"",""category"":""Score"",""variable"":""PoseData_RMSD"",""ascending"":true,""number_to_return"":1},""evaluator"":{""type_"":""BinaryEvaluation"",""name"":""BinaryEvaluation"",""variable"":""PoseData_RMSD"",""cutoff"":2.0,""below_cutoff_is_good"":true},""n_bootstraps"":1000,""dataset_before_similarity"":true}",1.0,RefData_Date
1000,RMSD,1,PoseData_RMSD,2.0,Default,1,DateSplit,125,Reference_Structure,0.926605504587156,0.926605504587156,0.926605504587156,0.926605504587156,218,0.9266055045871564,"{""type_"":""Evaluator"",""name"":""Evaluator"",""pose_selector"":{""type_"":""PoseSelector"",""name"":""Default"",""category"":""PoseSelection"",""variable"":""Pose_ID"",""ascending"":true,""number_to_return"":1},""dataset_split"":{""type_"":""DateSplit"",""name"":""DateSplit"",""deterministic"":false,""split_level"":0,""reference_structure_column"":""Reference_Structure"",""n_reference_structures"":125,""date_column"":""RefData_Date"",""randomize_by_n_days"":1},""similarity_split"":null,""scorer"":{""type_"":""RMSDScorer"",""name"":""RMSD"",""category"":""Score"",""variable"":""PoseData_RMSD"",""ascending"":true,""number_to_return"":1},""evaluator"":{""type_"":""BinaryEvaluation"",""name"":""BinaryEvaluation"",""variable"":""PoseData_RMSD"",""cutoff"":2.0,""below_cutoff_is_good"":true},""n_bootstraps"":1000,""dataset_before_similarity"":true}",1.0,RefData_Date
1000,RMSD,1,PoseData_RMSD,2.0,Default,1,DateSplit,175,Reference_Structure,0.9311926605504587,0.9403669724770642,0.9403669724770642,0.9357798165137615,218,0.9394862385321106,"{""type_"":""Evaluator"",""name"":""Evaluator"",""pose_selector"":{""type_"":""PoseSelector"",""name"":""Default"",""category"":""PoseSelection"",""variable"":""Pose_ID"",""ascending"":true,""number_to_return"":1},""dataset_split"":{""type_"":""DateSplit"",""name"":""DateSplit"",""deterministic"":false,""split_level"":0,""reference_structure_column"":""Reference_Structure"",""n_reference_structures"":175,""date_column"":""RefData_Date"",""randomize_by_n_days"":1},""similarity_split"":null,""scorer"":{""type_"":""RMSDScorer"",""name"":""RMSD"",""category"":""Score"",""variable"":""PoseData_RMSD"",""ascending"":true,""number_to_return"":1},""evaluator"":{""type_"":""BinaryEvaluation"",""name"":""BinaryEvaluation"",""variable"":""PoseData_RMSD"",""cutoff"":2.0,""below_cutoff_is_good"":true},""n_bootstraps"":1000,""dataset_before_similarity"":true}",1.0,RefData_Date
1000,RMSD,1,PoseData_RMSD,2.0,Default,1,DateSplit,185,Reference_Structure,0.944954128440367,0.944954128440367,0.9680176813871577,0.9062417832046739,218,0.944954128440367,"{""type_"":""Evaluator"",""name"":""Evaluator"",""pose_selector"":{""type_"":""PoseSelector"",""name"":""Default"",""category"":""PoseSelection"",""variable"":""Pose_ID"",""ascending"":true,""number_to_return"":1},""dataset_split"":{""type_"":""DateSplit"",""name"":""DateSplit"",""deterministic"":false,""split_level"":0,""reference_structure_column"":""Reference_Structure"",""n_reference_structures"":185,""date_column"":""RefData_Date"",""randomize_by_n_days"":1},""similarity_split"":null,""scorer"":{""type_"":""RMSDScorer"",""name"":""RMSD"",""category"":""Score"",""variable"":""PoseData_RMSD"",""ascending"":true,""number_to_return"":1},""evaluator"":{""type_"":""BinaryEvaluation"",""name"":""BinaryEvaluation"",""variable"":""PoseData_RMSD"",""cutoff"":2.0,""below_cutoff_is_good"":true},""n_bootstraps"":1000,""dataset_before_similarity"":true}",1.0,RefData_Date
