index,compound_name,scaffold_orig_id,compound_date,scaffold_smarts,smiles,scaffold_count,scaffold_first_date,scaffold_smarts_from_scaff_data
42,MAT-POS-916a2c5a-4,32,2020-05-19 15:23:28,CC1CC2CCCCC2C(C(C)C2CCC(C3CCCCC3)CC2)C1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,3,2020-05-19 15:23:28,CC1CC2CCCCC2C(C(C)C2CCC(C3CCCCC3)CC2)C1
43,JAN-GHE-83b26c96-10,2,2020-06-11 19:31:10,CC(CC1CCCCC1)CC1CCCCC1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,58,2020-02-27 01:46:57,CC(CC1CCCCC1)CC1CCCCC1
44,MAT-POS-590ac91e-5,102,2020-06-30 16:26:43,CC(CCC1CC1)CC1CCCCC1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,1,2020-06-30 16:26:43,CC(CCC1CC1)CC1CCCCC1
45,EDJ-MED-49816e9b-1,2,2020-07-10 05:29:49,CC(CC1CCCCC1)CC1CCCCC1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,58,2020-02-27 01:46:57,CC(CC1CCCCC1)CC1CCCCC1
46,TRY-UNI-714a760b-19,2,2020-08-13 16:48:22,CC(CC1CCCCC1)CC1CCCCC1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,58,2020-02-27 01:46:57,CC(CC1CCCCC1)CC1CCCCC1
47,EDG-MED-0da5ad92-16,2,2020-07-10 05:39:20,CC(CC1CCCCC1)CC1CCCCC1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,58,2020-02-27 01:46:57,CC(CC1CCCCC1)CC1CCCCC1
48,PET-SGC-a8a902d9-1,101,2020-07-23 23:22:44,CC(CC1CCCCC1)CC(C1CCCCC1)C1CCCC1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,1,2020-07-23 23:22:44,CC(CC1CCCCC1)CC(C1CCCCC1)C1CCCC1
49,MAT-POS-968e8d9c-1,18,2020-07-03 00:33:00,CC(CC1CCCC1C1CC1)C1CCCC2CCCCC21,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,4,2020-06-11 16:37:11,CC(CC1CCCC1C1CC1)C1CCCC2CCCCC21
50,AAR-POS-d2a4d1df-1,4,2020-02-26 15:15:35,C1CCCCC1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,10,2020-02-26 12:58:15,C1CCCCC1
51,JAN-GHE-83b26c96-13,2,2020-06-30 19:41:45,CC(CC1CCCCC1)CC1CCCCC1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,58,2020-02-27 01:46:57,CC(CC1CCCCC1)CC1CCCCC1
52,MAT-POS-590ac91e-21,117,2020-06-30 16:31:29,CC(CC1CCCCC1)C1CCC2(CC2)C1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,1,2020-06-30 16:31:29,CC(CC1CCCCC1)C1CCC2(CC2)C1
53,AAR-POS-d2a4d1df-5,4,2020-02-26 22:09:38,C1CCCCC1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,10,2020-02-26 12:58:15,C1CCCCC1
54,ALV-UNI-7ff1a6f9-47,118,2020-04-21 21:16:01,CC(CC1CCCCC1)CC1CCC2CCCCC2C1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,1,2020-04-21 21:16:01,CC(CC1CCCCC1)CC1CCC2CCCCC2C1
55,BAR-COM-0f94fc3d-23,2,2020-07-02 19:53:39,CC(CC1CCCCC1)CC1CCCCC1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,58,2020-02-27 01:46:57,CC(CC1CCCCC1)CC1CCCCC1
56,RAL-MED-2de63afb-14,8,2020-06-11 19:04:44,CC(CC1CCCCC1)CC1CCCC(CC2CC(C)C2)C1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,7,2020-04-21 20:02:37,CC(CC1CCCCC1)CC1CCCC(CC2CC(C)C2)C1
57,MAT-POS-7dfc56d9-1,4,2020-02-26 18:32:44,C1CCCCC1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,10,2020-02-26 12:58:15,C1CCCCC1
58,JAG-UCB-cedd89ab-1,85,2020-09-15 17:47:18,CC1C(C2CCCCC2)CCC1C1CCCCC1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,1,2020-09-15 17:47:18,CC1C(C2CCCCC2)CCC1C1CCCCC1
59,BAR-COM-0f94fc3d-59,69,2020-06-30 22:46:15,CC(CC1CCCCC1)C1CC2CCCCC21,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,1,2020-06-30 22:46:15,CC(CC1CCCCC1)C1CC2CCCCC21
60,ALP-POS-c59291d4-4,14,2020-07-02 19:37:31,CC(CC1CCC2CCCCC21)C(CC1CCCC1)C1CCCCC1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,5,2020-07-02 19:37:31,CC(CC1CCC2CCCCC21)C(CC1CCCC1)C1CCCCC1
61,EDG-MED-0da5ad92-18,2,2020-06-30 17:06:03,CC(CC1CCCCC1)CC1CCCCC1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,58,2020-02-27 01:46:57,CC(CC1CCCCC1)CC1CCCCC1
62,AAR-POS-d2a4d1df-19,158,2020-03-05 11:35:31,C1CCCC(C2CCCCC2)CC1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,1,2020-03-05 11:35:31,C1CCCC(C2CCCCC2)CC1
63,JAN-GHE-5a013bed-4,121,2020-06-30 21:08:45,CC(CC1CCCCC1)CC1CCCC1C,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,1,2020-06-30 21:08:45,CC(CC1CCCCC1)CC1CCCC1C
64,BAR-COM-0f94fc3d-25,148,2020-07-01 03:39:09,CC1CC(C(C)CC2CCCCC2)(C2CCCCC2)C1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,1,2020-07-01 03:39:09,CC1CC(C(C)CC2CCCCC2)(C2CCCCC2)C1
65,DAR-DIA-842b4336-13,11,2020-04-23 11:31:35,CC(CC1CCCCC1)CC1CCCC1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,7,2020-04-21 22:10:54,CC(CC1CCCCC1)CC1CCCC1
66,EDG-MED-0da5ad92-12,2,2020-07-10 01:52:50,CC(CC1CCCCC1)CC1CCCCC1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,58,2020-02-27 01:46:57,CC(CC1CCCCC1)CC1CCCCC1
67,AAR-POS-d2a4d1df-14,136,2020-03-05 04:39:42,C1CCC(C2CCCC2)C1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,1,2020-03-05 04:39:42,C1CCC(C2CCCC2)C1
68,ALP-POS-d2866bdf-1,14,2020-07-02 21:46:57,CC(CC1CCC2CCCCC21)C(CC1CCCC1)C1CCCCC1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,5,2020-07-02 19:37:31,CC(CC1CCC2CCCCC21)C(CC1CCCC1)C1CCCCC1
69,BAR-COM-4e090d3a-57,166,2020-05-19 15:12:53,CC(CC1CCCCC1)CC1CCCCC1CC(C)(C)C1CCCCC1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,1,2020-05-19 15:12:53,CC(CC1CCCCC1)CC1CCCCC1CC(C)(C)C1CCCCC1
70,TRY-UNI-2eddb1ff-3,2,2020-07-03 00:22:11,CC(CC1CCCCC1)CC1CCCCC1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,58,2020-02-27 01:46:57,CC(CC1CCCCC1)CC1CCCCC1
71,JAG-UCB-cedd89ab-4,60,2020-06-30 16:52:26,CC(CC1CCCCC1)C1CCCC1C1CCC(C2CC2)C1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,1,2020-06-30 16:52:26,CC(CC1CCCCC1)C1CCCC1C1CCC(C2CC2)C1
72,ALP-POS-c59291d4-3,81,2020-07-02 21:31:11,CC(CC1CCC(C(CC2CCCC2)C(C)CC2CCC3CCCCC32)CC1)C1CC1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,1,2020-07-02 21:31:11,CC(CC1CCC(C(CC2CCCC2)C(C)CC2CCC3CCCCC32)CC1)C1CC1
73,TRY-UNI-714a760b-6,2,2020-04-23 13:17:20,CC(CC1CCCCC1)CC1CCCCC1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,58,2020-02-27 01:46:57,CC(CC1CCCCC1)CC1CCCCC1
74,TRY-UNI-2eddb1ff-1,2,2020-06-11 16:11:20,CC(CC1CCCCC1)CC1CCCCC1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,58,2020-02-27 01:46:57,CC(CC1CCCCC1)CC1CCCCC1
75,TRY-UNI-714a760b-12,2,2020-05-08 10:59:15,CC(CC1CCCCC1)CC1CCCCC1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,58,2020-02-27 01:46:57,CC(CC1CCCCC1)CC1CCCCC1
76,VLA-UCB-1dbca3b4-15,1,2020-09-15 19:26:20,CC(CC1CCCC2CCCCC21)C1CCCC2CCCCC21,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,62,2020-09-15 19:26:20,CC(CC1CCCC2CCCCC21)C1CCCC2CCCCC21
77,BEN-DND-7e92b6ca-1,77,2020-07-01 01:32:49,CC1CCCC(C(C)CCCCC2CCCCC2)C1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,1,2020-07-01 01:32:49,CC1CCCC(C(C)CCCCC2CCCCC2)C1
78,BAR-COM-0f94fc3d-38,2,2020-07-02 22:10:48,CC(CC1CCCCC1)CC1CCCCC1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,58,2020-02-27 01:46:57,CC(CC1CCCCC1)CC1CCCCC1
79,MAT-POS-6344a35d-1,167,2020-09-25 21:14:49,CC(CC1CCCC(CC2CCCCC2)C1)CC1CCCC2CCCCC21,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,1,2020-09-25 21:14:49,CC(CC1CCCC(CC2CCCCC2)C1)CC1CCCC2CCCCC21
80,EDJ-MED-50fe53e8-3,10,2020-09-15 19:19:09,CC(CC1CCCCC1)CC1CCC2CCCCC21,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,6,2020-06-30 16:11:11,CC(CC1CCCCC1)CC1CCC2CCCCC21
81,AAR-POS-d2a4d1df-21,52,2020-03-06 03:07:16,CC(CCC1CCCCC1)C1CCCCC1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,2,2020-02-26 13:14:49,CC(CCC1CCCCC1)C1CCCCC1
82,BEN-DND-362d364a-10,2,2020-05-14 03:09:54,CC(CC1CCCCC1)CC1CCCCC1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,58,2020-02-27 01:46:57,CC(CC1CCCCC1)CC1CCCCC1
83,EDJ-MED-0e996074-1,18,2020-07-24 01:40:56,CC(CC1CCCC1C1CC1)C1CCCC2CCCCC21,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,4,2020-06-11 16:37:11,CC(CC1CCCC1C1CC1)C1CCCC2CCCCC21
