index,compound_name,scaffold_orig_id,compound_date,scaffold_smarts,smiles,scaffold_count,scaffold_first_date,scaffold_smarts_from_scaff_data
84,TRY-UNI-2eddb1ff-2,2,2020-07-01 01:38:19,CC(CC1CCCCC1)CC1CCCCC1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,58,2020-02-27 01:46:57,CC(CC1CCCCC1)CC1CCCCC1
85,ALP-POS-95b75b4d-1,2,2020-06-11 15:45:21,CC(CC1CCCCC1)CC1CCCCC1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,58,2020-02-27 01:46:57,CC(CC1CCCCC1)CC1CCCCC1
86,MAT-POS-590ac91e-24,137,2020-07-02 18:53:03,CC(CC1CCCCC1)CC1CC2(CC2)C1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,1,2020-07-02 18:53:03,CC(CC1CCCCC1)CC1CC2(CC2)C1
87,VLA-UCB-00f2c2b3-7,24,2020-08-13 17:02:40,CC(CC1CCCCC1)CC1CCCC2CCCC21,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,4,2020-08-13 17:02:40,CC(CC1CCCCC1)CC1CCCC2CCCC21
88,NAU-LAT-8502cac5-6,138,2020-07-23 23:35:52,CC(CC1CCCC1C1CCCCC1)C1CCC2CCCCC21,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,1,2020-07-23 23:35:52,CC(CC1CCCC1C1CCCCC1)C1CCC2CCCCC21
89,AAR-POS-d2a4d1df-17,105,2020-03-06 07:11:07,,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,1,2020-03-06 07:11:07,
90,ALP-POS-95b75b4d-2,2,2020-06-11 17:39:54,CC(CC1CCCCC1)CC1CCCCC1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,58,2020-02-27 01:46:57,CC(CC1CCCCC1)CC1CCCCC1
91,AAR-POS-5507155c-1,25,2020-04-03 01:06:34,C1CCC(C2CCCCC2)CC1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,1,2020-04-03 01:06:34,C1CCC(C2CCCCC2)CC1
92,MAT-POS-590ac91e-18,135,2020-06-30 19:30:03,CC(CC1CCCCC1)C1CC(C2CC2)C1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,1,2020-06-30 19:30:03,CC(CC1CCCCC1)C1CC(C2CC2)C1
93,AAR-POS-d2a4d1df-18,4,2020-03-05 08:35:32,C1CCCCC1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,10,2020-02-26 12:58:15,C1CCCCC1
94,JAN-GHE-83b26c96-8,2,2020-06-11 15:53:06,CC(CC1CCCCC1)CC1CCCCC1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,58,2020-02-27 01:46:57,CC(CC1CCCCC1)CC1CCCCC1
95,BEN-DND-93268d01-11,2,2020-08-13 16:34:11,CC(CC1CCCCC1)CC1CCCCC1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,58,2020-02-27 01:46:57,CC(CC1CCCCC1)CC1CCCCC1
96,ANN-UNI-26382800-5,2,2020-04-21 21:56:37,CC(CC1CCCCC1)CC1CCCCC1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,58,2020-02-27 01:46:57,CC(CC1CCCCC1)CC1CCCCC1
97,DAR-DIA-23aa0b97-13,2,2020-05-14 02:56:47,CC(CC1CCCCC1)CC1CCCCC1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,58,2020-02-27 01:46:57,CC(CC1CCCCC1)CC1CCCCC1
98,DAR-DIA-23aa0b97-20,3,2020-04-21 20:06:55,CC(CC1CCCCC1)CC1CCCC2CCCCC21,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,55,2020-04-21 20:06:55,CC(CC1CCCCC1)CC1CCCC2CCCCC21
99,EDJ-MED-06d94977-2,97,2020-08-13 16:42:49,CC(CCC1CCCCC1)CC1CCC2CCCCC21,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,1,2020-08-13 16:42:49,CC(CCC1CCCCC1)CC1CCC2CCCCC21
100,JAN-GHE-83b26c96-20,76,2020-06-11 19:25:45,CC(CC1CCCCC1)C1(C2CCCCC2)CC1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,1,2020-06-11 19:25:45,CC(CC1CCCCC1)C1(C2CCCCC2)CC1
101,JAN-GHE-83b26c96-14,2,2020-06-10 23:43:21,CC(CC1CCCCC1)CC1CCCCC1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,58,2020-02-27 01:46:57,CC(CC1CCCCC1)CC1CCCCC1
102,BEN-DND-7e92b6ca-2,6,2020-06-11 15:45:52,CC1CC2CCCCC2C(C(C)CCCCC2CCCCC2)C1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,8,2020-05-08 11:06:29,CC1CC2CCCCC2C(C(C)CCCCC2CCCCC2)C1
103,EDG-MED-0da5ad92-2,2,2020-06-10 22:18:42,CC(CC1CCCCC1)CC1CCCCC1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,58,2020-02-27 01:46:57,CC(CC1CCCCC1)CC1CCCCC1
104,BRU-LEF-c49414a7-1,8,2020-07-01 02:38:30,CC(CC1CCCCC1)CC1CCCC(CC2CC(C)C2)C1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,7,2020-04-21 20:02:37,CC(CC1CCCCC1)CC1CCCC(CC2CC(C)C2)C1
105,GAB-REV-70cc3ca5-13,156,2020-05-14 18:06:04,CC(CCC(C)CC1CCCCC1)CC1CCCCC1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,1,2020-05-14 18:06:04,CC(CCC(C)CC1CCCCC1)CC1CCCCC1
106,JAN-GHE-83b26c96-12,2,2020-08-13 18:39:51,CC(CC1CCCCC1)CC1CCCCC1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,58,2020-02-27 01:46:57,CC(CC1CCCCC1)CC1CCCCC1
107,BEN-DND-031a96cc-8,92,2020-05-22 01:05:29,CC(CC1CCCCC1)C(C)C1CCCCC1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,1,2020-05-22 01:05:29,CC(CC1CCCCC1)C(C)C1CCCCC1
108,MAT-POS-590ac91e-39,6,2020-06-30 18:13:35,CC1CC2CCCCC2C(C(C)CCCCC2CCCCC2)C1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,8,2020-05-08 11:06:29,CC1CC2CCCCC2C(C(C)CCCCC2CCCCC2)C1
109,JAN-GHE-83b26c96-1,2,2020-06-11 16:42:39,CC(CC1CCCCC1)CC1CCCCC1,CNC(=O)C[N@H+]1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,58,2020-02-27 01:46:57,CC(CC1CCCCC1)CC1CCCCC1
